Randomize complete, train size=1700, test size=426
21x100  100x3   Weight Matrix with Layer(2)
SimpleFNN Initialized...

21x100  100x3   Weight Matrix with Layer(2)
SimpleFNN Initialized...

21x20   20x3    Weight Matrix with Layer(2)
SimpleFNN Initialized...

                __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
[Epoch 25]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01196615                      0.01195561                      0.01194508
Test MSE:       0.00306392                      0.04690667                      49.59470544

[Epoch 26]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01145084                      0.01144098                      0.01143114
Test MSE:       0.00293742                      0.04538304                      48.80203151

[Epoch 27]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01097466                      0.01096543                      0.01095621
Test MSE:       0.00282018                      0.04395514                      48.04209002

[Epoch 28]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01053343                      0.01052476                      0.01051610
Test MSE:       0.00271124                      0.04261402                      47.31253837

[Epoch 29]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01012352                      0.01011536                      0.01010721
Test MSE:       0.00260977                      0.04135184                      46.61126669

[Epoch 30]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00974179                      0.00973410                      0.00972642
Test MSE:       0.00251504                      0.04016171                      45.93636928

[Epoch 31]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00938550                      0.00937824                      0.00937098
Test MSE:       0.00242641                      0.03903749                      45.28612021

[Epoch 32]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00905225                      0.00904538                      0.00903852
Test MSE:       0.00234334                      0.03797378                      44.65895220

[Epoch 33]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00873994                      0.00873343                      0.00872693
Test MSE:       0.00226531                      0.03696572                      44.05343854

[Epoch 34]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00844669                      0.00844052                      0.00843435
Test MSE:       0.00219191                      0.03600899                      43.46827728

[Epoch 35]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00817087                      0.00816501                      0.00815915
Test MSE:       0.00212273                      0.03509969                      42.90227757

[Epoch 36]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00791100                      0.00790542                      0.00789985
Test MSE:       0.00205743                      0.03423434                      42.35434778

[Epoch 37]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00766577                      0.00766046                      0.00765515
Test MSE:       0.00199571                      0.03340976                      41.82348502

[Epoch 38]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00743402                      0.00742895                      0.00742389
Test MSE:       0.00193728                      0.03262311                      41.30876604

[Epoch 39]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00721469                      0.00720985                      0.00720501
Test MSE:       0.00188189                      0.03187179                      40.80933920

[Epoch 40]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00700683                      0.00700220                      0.00699758
Test MSE:       0.00182933                      0.03115345                      40.32441741

[Epoch 41]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00680960                      0.00680517                      0.00680075
Test MSE:       0.00177937                      0.03046592                      39.85327189

[Epoch 42]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00662221                      0.00661797                      0.00661374
Test MSE:       0.00173185                      0.02980724                      39.39522663

[Epoch 43]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00644398                      0.00643992                      0.00643586
Test MSE:       0.00168658                      0.02917562                      38.94965351

[Epoch 44]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00627426                      0.00627037                      0.00626647
Test MSE:       0.00164342                      0.02856940                      38.51596794

[Epoch 45]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00611249                      0.00610874                      0.00610500
Test MSE:       0.00160223                      0.02798707                      38.09362498

[Epoch 46]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00595811                      0.00595452                      0.00595092
Test MSE:       0.00156288                      0.02742722                      37.68211586

[Epoch 47]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00581067                      0.00580721                      0.00580375
Test MSE:       0.00152525                      0.02688857                      37.28096491

[Epoch 48]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00566971                      0.00566637                      0.00566305
Test MSE:       0.00148923                      0.02636991                      36.88972678

[Epoch 49]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.00553482                      0.00553161                      0.00552841
Test MSE:       0.00145473                      0.02587016                      36.50798391
